model_id,month,signal,downloads
nvidia/Minitron-4B-Base,2024-07,2.8289720704410457,123.0
nvidia/Minitron-4B-Base,2024-08,25.317309861537716,545.0
nvidia/Minitron-4B-Base,2024-09,46.525151908697474,236.0
nvidia/Minitron-4B-Base,2024-10,38.90260215650185,25.0
nvidia/Minitron-4B-Base,2024-11,51.63187098020187,49.0
nvidia/Minitron-4B-Base,2024-12,3.3644102574980423,32.0
nvidia/Minitron-4B-Base,2025-01,8.164771241523232,409.0
nvidia/Minitron-4B-Base,2025-02,28.02598512267829,556.0
nvidia/Minitron-4B-Base,2025-03,4.244721009228449,558.0
nvidia/Minitron-4B-Base,2025-04,61.96532965368857,556.0
nvidia/Minitron-4B-Base,2025-05,4.930338960842855,1254.0
nvidia/Minitron-4B-Base,2025-06,88.98078526242799,1808.0
nvidia/Minitron-4B-Base,2025-07,47.863731896095665,1774.0
nvidia/Minitron-4B-Base,2025-08,19.724075753752672,1540.0
nvidia/Minitron-4B-Base,2025-09,5.048053532434338,1000.0
nvidia/Minitron-4B-Base,2025-10,7.353796648617916,513.0
nvidia/Minitron-4B-Base,2025-11,5.239481111643102,967.0
nvidia/Minitron-4B-Base,2025-12,5.248567700613269,298.0
nvidia/Minitron-4B-Base,2026-01,22.2416580009726,831.0
nvidia/Minitron-4B-Base,2026-02,34.84665427085989,3009.0
black-forest-labs/FLUX.1-dev,2024-07,1.699215085333814,0.0
black-forest-labs/FLUX.1-dev,2024-08,6199.081444171516,845812.0
Qwen/Qwen2.5-7B-Instruct,2024-09,308.0746716713073,91306.0
black-forest-labs/FLUX.1-dev,2024-09,7064.927506806447,1141985.0
Qwen/Qwen2.5-7B-Instruct,2024-10,1643.4819376954142,484324.0
black-forest-labs/FLUX.1-dev,2024-10,23278.954570533526,1306645.0
Qwen/Qwen2.5-7B-Instruct,2024-11,1609.7434032809683,1787091.0
black-forest-labs/FLUX.1-dev,2024-11,21151.42806806676,1369492.0
Qwen/Qwen2.5-7B-Instruct,2024-12,1533.7011814943544,1512594.0
black-forest-labs/FLUX.1-dev,2024-12,17859.562379790128,1166389.0
Qwen/Qwen2.5-7B-Instruct,2025-01,1388.2137388261576,1208616.0
black-forest-labs/FLUX.1-dev,2025-01,18158.662810486687,1580205.0
Qwen/Qwen2.5-7B-Instruct,2025-02,5515.6793949187,1587369.0
black-forest-labs/FLUX.1-dev,2025-02,31947.72301800679,2656183.0
Qwen/Qwen2.5-7B-Instruct,2025-03,3800.4006747535477,2246381.0
black-forest-labs/FLUX.1-dev,2025-03,41506.302271815606,2180791.0
Qwen/Qwen2.5-7B-Instruct,2025-04,8343.737378597398,2982535.0
black-forest-labs/FLUX.1-dev,2025-04,24021.76494500276,2601496.0
Qwen/Qwen2.5-7B-Instruct,2025-05,3977.870019148114,2569104.0
black-forest-labs/FLUX.1-dev,2025-05,25272.661688259002,1918699.0
Qwen/Qwen2.5-7B-Instruct,2025-06,4062.79959174175,2760335.0
black-forest-labs/FLUX.1-dev,2025-06,31041.26725297503,1512926.0
Qwen/Qwen2.5-7B-Instruct,2025-07,9519.637742359675,9192016.0
black-forest-labs/FLUX.1-dev,2025-07,22773.126194464636,1520921.0
Qwen/Qwen2.5-7B-Instruct,2025-08,5405.443009331633,12376914.0
black-forest-labs/FLUX.1-dev,2025-08,21405.842651454364,1399695.0
Qwen/Qwen2.5-7B-Instruct,2025-09,6554.920908365703,5747123.0
black-forest-labs/FLUX.1-dev,2025-09,19187.82187874286,1793177.0
Qwen/Qwen2.5-7B-Instruct,2025-10,4182.595436023722,8638070.0
black-forest-labs/FLUX.1-dev,2025-10,17111.275661393145,1558616.0
Qwen/Qwen2.5-7B-Instruct,2025-11,5707.419261874905,7530449.0
black-forest-labs/FLUX.1-dev,2025-11,6223.79602844607,1287010.0
Qwen/Qwen2.5-7B-Instruct,2025-12,5639.797358124999,5918917.0
black-forest-labs/FLUX.1-dev,2025-12,3894.632621560577,656345.0
Qwen/Qwen2.5-7B-Instruct,2026-01,12812.250703814914,10901281.0
black-forest-labs/FLUX.1-dev,2026-01,5875.753809718698,827491.0
Qwen/Qwen2.5-7B-Instruct,2026-02,16994.01802847654,21497102.0
black-forest-labs/FLUX.1-dev,2026-02,4388.086745597823,729086.0
